AuthorVerbeke,Mathias 0.200000
AuthorKijak,Ewa 0.200000
AuthorTarvi,Ljuba 0.200000
AuthorFord,W. Randolph 0.200000
AuthorSobha,L. 0.200000
AuthorHori,Takaaki 0.200000
AuthorSprague,Colin 0.200000
AuthorMa,Erlei 0.200000
AuthorGillon,Brendan S. 0.200000
AuthorDoucet,Antoine 0.200000
AuthorKlessa,Katarzyna 0.200000
AuthorFoster Smith,M. Cassandra 0.200000
AuthorMuthukrishna,Michael 0.200000
AuthorMontazeri,Niloofar 0.200000
AuthorMudraya,Olga 0.200000
AuthorCech,Claude G. 0.200000
AuthorZhao,Lin 0.200000
AuthorVeeramachaneni,Sriharsha 0.200000
AuthorChen,Erdong 0.200000
AuthorLevy,Roger 0.200000
AuthorRawat,J.S. 0.200000
AuthorBak,JinYeong 0.200000
AuthorTrilsbeek,Paul 0.200000
AuthorRose,Stuart 0.200000
AuthorGao,Wei 0.200000
AuthorJang,Roger Jyh-Shing 0.200000
AuthorLewis,Mike 0.200000
AuthorLu,Zhengdong 0.200000
AuthorGuzman,Francisco 0.200000
AuthorLoiseau,Sylvain 0.200000
AuthorSaumjan,Sebastian K. 0.200000
AuthorCelik,Emine 0.200000
AuthorBabbar,Uday 0.200000
AuthorStirling,Lesley 0.200000
AuthorHowlett,Susan 0.200000
AuthorPeterson,Pat 0.200000
AuthorAlegria,I&ntilde;aki 0.220000
AuthorChoi,Yoonjung 0.200000
AuthorSekiguchi,Yoshihiro 0.200000
AuthorDivi,Vijay 0.200000
AuthorBuckeridge,Alan M. 0.200000
AuthorMarge,Matthew 0.200000
AuthorCesar,Christian 0.200000
AuthorRaz,Yishay 0.200000
AuthorHayes,Jeff 0.200000
AuthorLu,Xiaofei 0.200000
AuthorKumar,Mohit 0.200000
AuthorLicheng,Zeng 0.200000
AuthorMensch,Alyssa 0.200000
AuthorAizawa,Akiko N. 0.200000
AuthorSedelow Jr.,Walter A. 0.200000
AuthorMangu,Lidia 0.200000
AuthorBott,Oliver 0.200000
AuthorSells,Peter 0.200000
AuthorPerera,Nadine 0.200000
AuthorFrancom,Jerid 0.200000
AuthorBunnell,H. Timothy 0.200000
AuthorRincel,Phillipe 0.200000
AuthorDe Boer,Bart 0.200000
AuthorWilliams,Robert 0.200000
AuthorOliveira,Lu&iacute;s 0.200000
AuthorKhan,M. A. 0.200000
AuthorKelly,Colin 0.200000
AuthorLi,Fan 0.200000
AuthorRuiz Costa-jussÃ,Marta 0.200000
AuthorPolifroni,Joseph H. 0.200000
AuthorEhrmann,Maud 0.200000
AuthorBeroviÄ‡,DaÅ¡a 0.200000
AuthorShilon,Reshef 0.200000
AuthorThint,Marcus 0.200000
AuthorOtrusina,Lubomir 0.200000
AuthorKiefer,Ferenc 0.200000
AuthorTrapman,Jantine 0.200000
AuthorAbdelRahman,Samir 0.200000
AuthorBane,Max 0.200000
AuthorKao,Ting-hui 0.200000
AuthorGalu&scaron;&ccaron;&aacute;kov&aacute;,Petra 0.200000
AuthorPenstein RosÃ©,Carolyn 0.200000
AuthorMellish,Chris S. 0.203265
AuthorPeters,Jochen 0.200000
Author&Aring;&nbsp;ari&Auml;‡,Frane 0.200000
AuthorJiang,Zheng Ping 0.200000
AuthorRuangrajitpakorn,Taneth 0.200000
AuthorLi,Nan 0.200000
AuthorKamm,Candace A. 0.200000
AuthorWang,Yu-Chun 0.200000
AuthorNewman,S. Paula 0.200000
AuthorRay,Soumya 0.200000
AuthorV,Krishnakumar 0.200000
AuthorFaili,Feshaam 0.200000
AuthorKong,Lingpeng 0.200000
AuthorKang,In-Ho 0.200000
AuthorMaes,Fons 0.200000
AuthorZavaliagkos,George 0.200000
AuthorEng,Katherine 0.200000
AuthorHummer,Christiane 0.200000
AuthorHatakoshi,Yuto 0.200000
AuthorWashburn,Clay 0.200000
AuthorZheng,Yanzhen 0.200000
AuthorDologlou,Yannis 0.200000
AuthorVan Coile,B. 0.200000
AuthorHunter,David 0.200000
AuthorHuckle,Christopher C. 0.200000
AuthorSegami,Carlos 0.200000
AuthorLin,Hongfei 0.200000
AuthorJiang,Ridong 0.200000
AuthorFreedman,Reva 0.200000
AuthorSchilder,Frank 0.200000
AuthorBauer,Travis L. 0.208000
AuthorAman,Saima 0.200000
AuthorSvenson,Mats 0.200000
AuthorHall,Mark 0.200000
AuthorJain,Viren 0.200000
AuthorFoo,Jody 0.200000
AuthorTseng,Belle 0.200000
AuthorHindle,Donald 0.209412
AuthorGleim,R&uuml;diger 0.200000
AuthorLampmann,Malte 0.200000
AuthorSartiano,Daniele 0.200000
AuthorWhite,Elizabeth 0.200000
AuthorVan Liefferinge,Stefaan 0.200000
AuthorBaumann,Timo 0.200000
AuthorGil,Alexandre 0.200000
AuthorNg,Vincent 0.200941
AuthorBrodersen,R. 0.200000
AuthorVaz,Paula Cristina 0.200000
AuthorNiedermair,Gerh. Th. 0.200000
AuthorDu,Weifu 0.200000
AuthorDejean,Herve 0.200000
AuthorScholz,Thomas 0.200000
AuthorProkic,Jelena 0.200000
AuthorEmerson,Lori 0.200000
AuthorMennucci,M. 0.200000
AuthorWang,Renjing 0.200000
AuthorJobbins,Amanda C. 0.200000
AuthorHerzog,Gerd 0.200000
AuthorChu-Carroll,Jennifer 0.200941
AuthorBenAyed,Siwar 0.200000
AuthorLu,Qin 0.200000
AuthorMcHale,Michael L. 0.200000
AuthorAhonen-Myka,Helana 0.200000
AuthorAlmuhareb,Abdulrahman 0.200000
AuthorHein,Cheryl 0.200000
AuthorBott,Stefan 0.200000
AuthorAleksic,Vera 0.200000
AuthorBanks,Sarah 0.200000
AuthorTahaghoghi,S. M. M. 0.200000
AuthorVilar,Juan-Miguel 0.200000
AuthorChapman,Wendy 0.200000
AuthorRowe,Charles 0.200000
AuthorYal&ccedil;inkaya,Ihsan 0.200000
AuthorKuo,Tsung-Ting 0.200000
AuthorDesalle,Yann 0.200000
AuthorSirts,Kairit 0.200000
AuthorSilvestrov,Sergei 0.200000
AuthorOrloff,Jeremy 0.200000
AuthorToda,Seinosuke 0.200000
AuthorCaseli,Helena M. 0.200000
AuthorDavis,Anthony 0.200000
AuthorOepen,Stephan 0.200000
AuthorMettler,Mael 0.200000
AuthorRusko,Milan 0.200000
AuthorTorget,Andrew 0.200000
AuthorMidgley,T. Daniel 0.200000
AuthorRajkumar,Pujari 0.200000
AuthorSchuurmans,Dale 0.200000
AuthorKlarner,Martin 0.200000
AuthorDom&Atilde;&not;nguez,Mart&Atilde;&not;n 0.200000
AuthorTojo,Satoshi 0.200000
AuthorOzell,Benoit 0.200000
AuthorLuo,Dingsheng 0.200000
AuthorHan,Dingyi 0.200000
AuthorLyon,Caroline 0.200000
AuthorHsu,Wen-Lian 0.200000
AuthorBoyle-Hinrichs,Marie 0.200000
AuthorAnshen,Frank 0.200000
AuthorBennett,Andrew 0.200000
AuthorVan Deemter,Kees 0.200000
AuthorGao,Yahui 0.200000
AuthorJohnson,Brian 0.200000
AuthorHonnibal,Matthew 0.200000
AuthorPinnis,M&Auml;rcis 0.200000
AuthorPrahallad,Kishore 0.200000
AuthorTsur,Oren 0.200000
AuthorSun,Guang-Lu 0.200000
AuthorThomas,Robert G. 0.200000
AuthorBobicev,Victoria 0.200000
AuthorFaruque,Ehsanul 0.200000
AuthorSpitkovsky,Valentin I. 0.200000
AuthorNguyen,Hieu 0.200000
AuthorKoch,Ulrich 0.200000
AuthorTsai,Wang-Ju 0.200000
AuthorJalali,Maryam 0.200000
AuthorJin,Meixun 0.200000
AuthorGerdes,Kim 0.200000
AuthorLau,Jey Han 0.200000
AuthorDerczynski,Leon 0.200000
AuthorGoldwater,Sharon J. 0.200000
AuthorSolorio,Thamar 0.200000
AuthorIJdens,Jan 0.200000
AuthorHunicke-Smith,K. 0.200000
AuthorLuyckx,Kim 0.200000
AuthorLim,Suk Hwan 0.200000
AuthorZhang,Jiayue 0.200000
AuthorKimura,Mutsuko 0.200000
AuthorStark,Matthias 0.200000
AuthorRadicioni,Daniele P. 0.200000
AuthorSorower,Mohammad 0.200000
AuthorAmmar,Waleed 0.200000
AuthorKehler,T. P. 0.200000
AuthorMohamed,Emad 0.200000
AuthorDarjaa,Sakhia 0.200000
AuthorHanamoto,Atsushi 0.200000
AuthorMoze,Sara 0.200000
AuthorGregorowicz,Andy 0.200000
AuthorPalomar,Manuel 0.200000
AuthorPeltason,Julia 0.200000
AuthorShillan,David 0.200000
AuthorSomasundaran,Swapna 0.200000
AuthorBernard,Pascale 0.200000
AuthorBanjade,Rajendra 0.200000
AuthorKrishnan,Vijay 0.200000
AuthorMihaylov,Pavel 0.200000
Author&Oacute; S&eacute;aghdha,Diarmuid 0.200000
AuthorNakao,Yukie 0.200000
AuthorMel'cuk,Igor A. 0.200000
AuthorSinohara,Yasusi 0.200000
AuthorAbdul Kadir,Rabiah 0.200000
AuthorCentelles,Jordi 0.200000
AuthorSiklÃ³si,BorbÃ¡la 0.200000
AuthorBaird,Henry S. 0.200000
AuthorHoste,V&eacute;ronique 0.200000
AuthorKomiya,Kanako 0.200000
AuthorMahasarakham,Puwarat Pavaputanont 0.200000
AuthorTan,He 0.200000
AuthorSchiaffino,Robert 0.200000
AuthorKoolen,Marijn 0.200000
AuthorLawrie,Dawn 0.200000
AuthorQian,Jin 0.200000
AuthorMachado,Andr&eacute; 0.200000
AuthorVisser,Eric M. 0.200000
AuthorWenjie,Li 0.200000
AuthorCetinoglu,Ozlem 0.200000
AuthorInui,Takashi 0.200000
AuthorNozohoor-Farshi,R. 0.200000
AuthorForet,Annie 0.200000
AuthorGeist,Matthieu 0.200000
AuthorArizmendi,Iker 0.200000
AuthorRodrigo,Alvaro 0.200000
AuthorMcCoy,Patricia Ann 0.200000
AuthorGarudadri,H. 0.200000
AuthorDegorski,Ukasz 0.200000
AuthorDingwall,Alison 0.200000
AuthorJauhar,Sujay Kumar 0.200000
AuthorF&uuml;rstenau,Hagen 0.200000
AuthorGabbay,Igal 0.200000
AuthorChallenge,Generation 0.200000
AuthorScholer,Falk 0.200000
AuthorDoherty,Stephen 0.200000
AuthorWang,Hanshi 0.200000
AuthorBobrow,Rusty 0.200000
AuthorWu,Shumin 0.200000
AuthorClark,Christine 0.200000
AuthorHull,Richard 0.200000
AuthorZhang,David 0.200000
AuthorInoue,Seiki 0.200000
AuthorYang,Qiang 0.200000
AuthorDamper,Robert I. 0.200000
AuthorAlvarado,Irene 0.200000
AuthorMazo,H&eacute;l&egrave;ne 0.200000
AuthorNov&aacute;k,Attila 0.200000
AuthorKam,Xuan-Nga Cao 0.200000
AuthorObeid,Ossama 0.200000
AuthorHearne,Mary 0.200000
AuthorNovais,Eder 0.200000
AuthorBalcom,Laura Blumer 0.200000
AuthorPei,Wenzhe 0.200000
AuthorXiao,Tong 0.200000
AuthorSaric,Zoran 0.200000
AuthorMeknavin,Surapant 0.200000
AuthorAranovich,Roberto 0.200000
AuthorBurger,John F. 0.200000
AuthorFunatomi,Takuya 0.200000
AuthorGiampiccolo,Danilo 0.200000
AuthorHong,SungLim 0.200000
AuthorBestougeff,Helene 0.200000
AuthorMalm,Mats 0.200000
AuthorPhandi,Peter 0.200000
AuthorFaruquie,Tanveer A. 0.200000
AuthorHutchinson,Brian 0.200000
AuthorMachunik,Monika 0.200000
AuthorDe Beule,Joachim 0.200000
AuthorWachsmuth,Ipke 0.200000
AuthorMedori,Julia 0.200000
AuthorKallonis,Spyros 0.200000
AuthorReichart,Roi 0.200000
AuthorMinker,Wolfgang 0.200000
AuthorDaly,Nancy 0.200000
AuthorPogrebezky,Ilia 0.200000
AuthorLi,Liu 0.200000
AuthorEngel Thomas,Cecilia 0.200000
AuthorBaker,James K. 0.200000
AuthorCano,Antonio 0.200000
AuthorPeychev,Deyan 0.200000
AuthorBelvin,Robert S. 0.200000
AuthorSelf,John 0.200000
AuthorNygaard,Anders 0.200000
AuthorYao,Yao 0.200000
AuthorKononenko,I. S. 0.200000
AuthorHoriuchi,Hiroaki 0.200000
AuthorKamata,Kazuo 0.200000
AuthorJinxiu,Chen 0.200941
AuthorRizzolo,Nicholas 0.200000
AuthorTaul&eacute;,Mariona 0.200000
AuthorLascarides,Alex 0.200941
AuthorMiclet,Laurent 0.200000
AuthorTraue,Harald 0.200000
AuthorAntonova,Alexandra 0.200000
AuthorBazillon,Thierry 0.200000
AuthorKatoh,Naoto 0.200000
AuthorTrakultaweekoon,Kanokorn 0.200000
AuthorBatra,Dhruv 0.200000
AuthorAmigo,Enrique 0.200000
AuthorFerreras,Francisco L. 0.200000
AuthorGonÃ§alves,Diogo 0.200000
AuthorMakhambetov,Olzhas 0.200000
AuthorHuang,Eric H. 0.200000
AuthorMao,Yu-Hang 0.200000
AuthorDemenko,Grazyna 0.200000
AuthorDankin,Lena 0.200000
AuthorDu,Jinhua 0.200000
AuthorPaun,Gheorghe 0.200000
AuthorGoto,Jun 0.200000
AuthorMcKenzie,Amber 0.200000
AuthorAmri,Amine 0.200000
AuthorAmancio,Diego Raphael 0.200000
AuthorMeans,Robert W. 0.200000
AuthorFairon,Cedrick 0.200000
AuthorCheng,Xueqi 0.200000
AuthorMartins,Pedro 0.200000
AuthorNiederlich,Hendrik 0.200000
AuthorTanaka-Ishii,Kumiko 0.200000
AuthorRiddoch,Chris 0.200000
AuthorKothari,Alok 0.200000
AuthorSchwitter,Rolf 0.200000
AuthorTsutsumi,Junya 0.200000
AuthorMarkovitch,Shaul 0.200000
AuthorKleinbauer,Thomas 0.200000
AuthorBader,Brett W. 0.200000
AuthorYu,Yeong-Ho 0.200000
AuthorAlmeida,Mariana S. C. 0.200000
AuthorYamabana,Kiyoshi 0.200000
AuthorArora,Piyush 0.200000
AuthorJi,Donghong 0.200000
AuthorChinchor,Nancy A. 0.200941
AuthorXu,Tianyu 0.200000
AuthorPaukkeri,Mari-Sanna 0.200000
AuthorPons-Porrata,Aurora 0.200000
AuthorTamchyna,Ale&scaron; 0.200000
AuthorShepherd,J. Adrian 0.200000
AuthorSaad El Din,Ahmed 0.200000
AuthorShaw,Richard 0.200000
AuthorMalavazosi,Christos 0.200000
AuthorTai,Terry 0.200000
AuthorJiang,Long 0.200000
AuthorAl-Basoumy,Husein 0.200000
AuthorGoddeau,David 0.200000
AuthorNagarajan,Arun 0.200000
AuthorFu,Ruiji 0.200000
AuthorUlivieri,Marisa 0.200000
AuthorTudor,Catalina O 0.200000
AuthorGilbert,Juan 0.200000
AuthorOkamoto,Jun 0.200000
AuthorJameson,A. 0.200000
AuthorHadjarian,Ali 0.200000
AuthorShah,Ritesh M. 0.200000
AuthorDeNero,John 0.200000
AuthorBerant,Jonathan 0.200000
AuthorGoecke,Karl Ulrich 0.200000
AuthorUpal,Afzal 0.200000
AuthorLu,Zhimao 0.200000
AuthorMeystre,Stephane 0.200000
AuthorNguyen,ThuyLinh 0.200000
AuthorClark,Stephen 0.200941
AuthorDanyluk,Andrea 0.200000
AuthorZhang,Hua-Ping 0.200000
AuthorKerzic,Damijana 0.200000
AuthorHa Thuc,Viet 0.200000
AuthorFernando,Tim 0.200000
AuthorSeidenberg,Mark S. 0.200000
AuthorFleisch,Axel 0.200000
AuthorMiliÄka,JiÅ™Ã­ 0.200000
AuthorSchmidek,Jordan 0.200000
AuthorStuttle,Matthew 0.200000
AuthorWurm,Andrea 0.200000
AuthorKotlerman,Lili 0.200000
AuthorMills,Gregory 0.200000
AuthorDanieli,Morena 0.200000
AuthorJianshuo,Huang 0.200000
AuthorKouhestani,Manouchehr 0.200000
AuthorLorenzo,Alejandra 0.200000
AuthorPeretz,Ariel 0.200000
AuthorChen,Bo-Nian 0.200000
AuthorAgarwal,Deepak 0.200000
AuthorBiewald,Lukas 0.200000
AuthorSmith,Cameron 0.200000
AuthorHakkani-T&uuml;r,Dilek 0.200000
AuthorDe Hilster,David 0.200000
AuthorAlleva,Fileno A. 0.200000
AuthorMur,Jori 0.200000
AuthorDamani,Om P. 0.200000
AuthorWang,Huizhen 0.200000
AuthorCole,Ronald A. 0.200000
AuthorExley,Andy 0.200000
AuthorMoore,Joshua 0.200000
AuthorYang,Yuhang 0.200000
AuthorPfeil,Martin 0.200000
AuthorNunes,Tiago 0.200000
AuthorGong,Yeyun 0.200000
AuthorSimons,Gary 0.200000
AuthorBerrezoug,Asma 0.200000
AuthorPerez-Hernandez,Chantal 0.200000
AuthorYu,Juntao 0.200000
AuthorKang,Jihua 0.200000
AuthorDong,Zhendong 0.200000
AuthorZubiaga,Alex 0.203265
AuthorAhmad,Khurshid 0.200000
AuthorTateishi,Kenji 0.200000
AuthorZhang,Zhaoxia 0.200000
AuthorMiike,Seiji 0.200000
AuthorAnastasiu,David C. 0.200000
AuthorBouma,Gosse 0.200000
AuthorNorth,Ryan 0.200000
AuthorLeinonen,Therese 0.200000
AuthorCerruti,Julian 0.200000
AuthorFillmore,Charles J. 0.210667
AuthorHristea,Florentina 0.200000
AuthorBruce,Bertram C. 0.200000
AuthorGrave,Edouard 0.200000
AuthorOuyang,Shixiao 0.200000
AuthorPontiki,Maria 0.200000
AuthorGustafsson,Malin 0.200000
AuthorOgun,Fatih 0.200000
AuthorNot,Elena 0.200000
AuthorMerlin,T&eacute;va 0.200000
AuthorLotan,Amnon 0.200000
AuthorTovmach,Yu. 0.200000
AuthorWolf,Florian 0.200000
AuthorField,Camilla Vilhelmsen 0.200000
AuthorNasir,Jamal 0.200000
AuthorHuang,He-Yan 0.200000
AuthorCormack,James 0.200000
AuthorJ. Silva,M&aacute;rio 0.200000
AuthorGorno-Tempini,Maria Luisa 0.200000
AuthorItabashi,S. 0.200000
AuthorFancellu,Federico 0.200000
AuthorStab,Christian 0.200000
AuthorBatliner,Anton 0.200000
AuthorRaghunathan,Badri 0.200000
AuthorYona,Shlomo 0.200000
AuthorIlhan,H. Tolga 0.200000
AuthorMackillop,Andrew 0.200000
AuthorYu,Shihong 0.200000
AuthorThompson,John 0.200000
AuthorWampler,Stephen 0.200000
AuthorChu,Stephen 0.200000
AuthorPersidis,Andreas 0.200000
AuthorKurematsu,A. 0.200000
AuthorHong,Gumwon 0.200000
AuthorOemig,Frank 0.200000
AuthorLi,Zhifei 0.200000
AuthorTsuruoka,Akio 0.200000
AuthorCrocker,Matthew W. 0.200000
AuthorWang,Ting 0.200000
AuthorManguilimotan,Erlyn 0.200000
AuthorWard,Todd 0.216000
AuthorBas,Johan 0.200000
AuthorPettersson,Paul 0.200000
AuthorGarain,Utpal 0.200000
AuthorKalaydijev,Ognyan 0.200000
AuthorBened&iacute;,Jos&eacute;-Miguel 0.200000
AuthorCohen,Michael 0.200000
AuthorClÃ¡udio,Pedro 0.200000
AuthorStede,Manfred 0.200000
AuthorMuller,Antje 0.200000
AuthorButters,Jonathan 0.200000
AuthorTaira,Ricky K 0.200000
AuthorZawadowski,Marek 0.200000
AuthorMartins,Andre 0.200000
AuthorBhembe,Dumisizwe 0.200000
AuthorZribi,Adnane 0.200000
AuthorFormiga,LluÃ­s 0.200000
AuthorSymeonidis,Andreas 0.200000
AuthorPon-Barry,Heather 0.200000
AuthorC. Newton,Marcus 0.200000
AuthorTaylor,Lita 0.200000
AuthorTanabe,Toshifumi 0.200000
AuthorQian,LongHua 0.200000
AuthorHladka,Barbora 0.200000
AuthorAcree,Brice D. L. 0.200000
AuthorGancedo,Maria C. 0.200000
AuthorSloman,Aaron 0.200000
AuthorZajac,Mini 0.200000
AuthorMasuda,Shouko 0.200000
AuthorWells,Mike 0.200000
AuthorStrakovÃ¡,Jana 0.200000
AuthorSun,Ye 0.200000
AuthorMehlhorn,Kurt 0.200000
AuthorHori,Tomomasa 0.200000
AuthorDagan,Ido 0.203265
AuthorZhang,Rui 0.200000
AuthorNakisa,Ramin Charles 0.200000
AuthorRaskutti,Bhavani 0.200000
AuthorLemaire,Beno&icirc;t 0.200000
AuthorZhang,Wei 0.200000
AuthorOkada,Yoshihiro 0.200000
AuthorChan,Chiu-Ki 0.200000
AuthorAakhus,Mark 0.200000
AuthorChieu,Hai Leong 0.200000
AuthorHeine,Julia E. 0.200000
AuthorRoussinov,Dmitri 0.200000
AuthorMueller,Christoph 0.200000
AuthorSchuler,William 0.200000
AuthorGuyomard,Marc 0.200000
AuthorChahuneau,Victor 0.200000
AuthorMart&iacute;nez-G&oacute;mez,Pascual 0.200000
AuthorSevens,Leen 0.200000
AuthorWeilhammer,Karl 0.200000
AuthorNishiokayama,Shigeyuki 0.200000
AuthorAllauzen,Cyril 0.200000
AuthorLiao,Meng 0.200000
AuthorGopalakrishnan,P. S. 0.200000
AuthorDinesh,Nikhil 0.200000
AuthorMeur,Andr&eacute; Le 0.200000
AuthorTschumi,Corinne 0.200000
AuthorGilg,Thomas 0.200000
Author&#x106;avar,Damir 0.200000
AuthorMcCrohon,Luke 0.200000
AuthorBos,M. J. W. 0.200000
AuthorPichotta,Karl 0.200000
AuthorKwon,Hyuk-Chul 0.200000
AuthorMcCaw,John 0.200000
AuthorJanviriyasopak,J. 0.200000
AuthorMalmaud,Jonathan 0.200000
AuthorManganaro,Linda 0.200000
AuthorPareti,Silvia 0.200000
AuthorDahllof,Mats 0.200000
AuthorHermo,Miguel 0.200000
AuthorPopov,Borislav 0.200000
AuthorRenders,Jean-Michel 0.200000
AuthorHeift,Trude 0.200000
AuthorClough,Paul D. 0.200000
AuthorKolss,Muntsin 0.200000
AuthorJones,Danny 0.200000
AuthorGuerra,Raul 0.200000
AuthorVega,Alejandro 0.200000
AuthorPisanski,Tomaz 0.200000
AuthorMenn,Lise 0.200000
AuthorIglesias,Gonzalo 0.200000
AuthorLincoln,Nashira 0.200000
AuthorChen,Aitao 0.200000
AuthorWang,William S. Y. 0.200000
AuthorWinter-Thielen,Jutta 0.200000
AuthorSigelman,Sergey 0.200000
AuthorWÃ¤rnestÃ¥l,Pontus 0.200000
AuthorSchabes,Yves 0.200000
AuthorPetrova,Milena 0.200000
AuthorJorg,Brigitte 0.200000
AuthorYtrestl,Gisle 0.200000
AuthorDing,Fan 0.200000
AuthorAleman,Yuridiana 0.200000
AuthorN&eacute;dellec,Claire 0.200000
AuthorBauer,Sandro 0.200000
AuthorFeng,Yansong 0.200000
AuthorWakita,Toshiyuki 0.200000
AuthorKolomiyets,Oleksandr 0.200000
AuthorDash,Sarthak 0.200000
AuthorWu,Lide 0.200000
AuthorYoon,SinWon 0.200000
AuthorBorra,Allan 0.200000
AuthorGuo,Stephen 0.200000
AuthorFox,Chris 0.200000
AuthorBerend,G&aacute;bor 0.200000
AuthorJiang,Jing 0.200000
AuthorSong,Hyun-Je 0.200000
AuthorCiaramita,Massimiliano 0.200000
AuthorStanovsky,Gabriel 0.200000
AuthorReddig,Carola 0.200000
AuthorSchacht,Susanne 0.200000
AuthorPerry,Doyt 0.200000
AuthorStent,A. 0.200000
AuthorBemstein,Jared 0.200000
AuthorDietterich,Thomas G. 0.200000
AuthorVallin,Alessandro 0.200000
AuthorMoshier,M. Drew 0.200000
AuthorPiperski,Alexander 0.200000
AuthorTomokiyo,Takashi 0.200000
AuthorHasebe,Koichi 0.200000
AuthorMarshall,Catherine 0.200000
AuthorSeppi,Kevin 0.200000
AuthorDupuy,Sylvain 0.200000
AuthorRozenknop,Antoine 0.200000
AuthorNilson,Roslyn 0.200000
AuthorTseng,Chiu-yu 0.200000
AuthorZaiane,Osmar R. 0.200000
AuthorYoshida,Kazushi 0.200000
AuthorExner,Peter 0.200000
AuthorMotta,Enrico 0.200000
AuthorAizawa,Teruaki 0.200000
AuthorCostello,Dave 0.200000
AuthorLioma,Christina 0.200000
AuthorDecrozant,Lisa 0.200000
AuthorAndres,Frederic 0.200000
AuthorAli,Syed S. 0.200000
AuthorChen,XiXian 0.200000
AuthorChesney,Sophie 0.200000
AuthorPerozzi,Bryan 0.200000
AuthorHan,Sangdo 0.200000
AuthorGabrilovich,Evgeniy 0.200000
AuthorMeng,Helen M. 0.200000
AuthorRadetzky,Paula 0.200000
AuthorSebastiani,Fabrizio 0.200000
AuthorJiang,Li 0.200000
AuthorGorz,Gunther 0.200000
AuthorTucker,Allen B. 0.200000
AuthorGunawardana,Asela 0.200000
AuthorCramer,Bart 0.200000
AuthorEsteve Ferrer,Eva 0.200000
AuthorWedekind,JÃ¼rgen 0.200000
AuthorWindhouwer,Menzo 0.200000
AuthorHasanuzzaman,Mohammed 0.200000
AuthorSullivan,Ryan 0.200000
AuthorLiu,Mei-Jun 0.200000
AuthorHavelka,Jiri 0.200000
AuthorEpstein,Martin N. 0.200000
AuthorPlank,Frans 0.200000
AuthorGertner,Abigail S. 0.200000
AuthorHofmann-Apitius,Martin 0.200000
AuthorSieber,Gregor 0.200000
AuthorKim,Yookyung 0.200000
AuthorZhang,Yujie 0.200000
AuthorMurray,Keith 0.200000
AuthorOzaki,Akira 0.200000
AuthorHorowitz,David 0.200000
AuthorR&ouml;sner,Dietmar 0.200000
AuthorWu,Jian-Cheng 0.200000
AuthorAshley,Kevin D. 0.200000
AuthorRamakrishnan A.,Ananth 0.200000
AuthorLipson,Hod 0.200000
AuthorSchmitz,Birte 0.200000
AuthorSabot,Gary W. 0.200000
AuthorChao,Gerald 0.200000
AuthorMarai,G. Elisabeta 0.200000
AuthorDorffner,Georg 0.200000
AuthorDehmer,Matthias 0.200000
AuthorCollazo,Armando 0.200000
AuthorNiemann,Elisabeth 0.200000
AuthorRyang,Seonggi 0.200000
AuthorJiang,Yongguang 0.200000
AuthorCox,Stephen 0.200000
AuthorThaul Lehrman,Michael 0.200000
AuthorMuskens,Reinhard 0.200000
AuthorQuattoni,Ariadna 0.200000
AuthorGolenia,Bruno 0.200000
AuthorRuhlen,Paul 0.200000
AuthorRamanath,Rohan 0.200000
AuthorFu,Xingshang 0.200000
AuthorZinsmeister,Heike 0.200000
AuthorWashington,Anne 0.200000
AuthorColby,Kenneth Mark 0.200000
AuthorBoston,Marisa Ferrara 0.200000
AuthorVenugopal,Deepak 0.200000
AuthorPiug,Dennys D. 0.200000
AuthorSong,Yang 0.200000
AuthorCostantini,Cinzia 0.200000
AuthorBekavac,Marko 0.200000
AuthorNemeskey,DÃ¡vid MÃ¡rk 0.200000
AuthorBurger,Susanne 0.200000
AuthorWu,Zhaohui 0.200000
AuthorGrau Puerto,Sergio 0.200000
AuthorDolan,Ron 0.200000
AuthorHu,Ya'nan 0.200000
AuthorFisher,W. 0.200000
AuthorAguilar,Jacqueline 0.200000
AuthorComeau,Michel 0.200000
AuthorDowding,John 0.200000
AuthorHeintzelman,Norris 0.200000
AuthorÄ°ÅŸgÃ¼der,GÃ¶zde GÃ¼l 0.200000
AuthorZimina,Maria 0.200000
AuthorSakaguchi,Keisuke 0.200000
AuthorVan Erk,Sebastiaan 0.200000
AuthorShih,Hsiu-Min 0.200000
AuthorPeters,Wim 0.200000
AuthorCaid,William R. 0.200000
AuthorKorkmaz,Turgay 0.200000
AuthorSherertz,David D. 0.200000
AuthorShikano,Kiyohiro 0.200000
AuthorTurmo,Jordi 0.200000
AuthorHa,Eun 0.200000
AuthorOmologo,Maurizio 0.200000
AuthorMurase,Takahisa 0.200000
AuthorDavis,Chris 0.200000
AuthorZhang,Junlin 0.200000
AuthorDe Li,Erika F. 0.200000
AuthorOnyshkevych,Boyan A. 0.200000
AuthorSturm,Janienke 0.200000
AuthorSturtevant,Dean G. 0.200000
AuthorWei,Xing 0.200000
AuthorNemeskey,D&Atilde;&iexcl;vid M&Atilde;&iexcl;rk 0.200000
AuthorDewdney,Niegel 0.200000
AuthorZulaica-Hern&aacute;ndez,Iker 0.200000
AuthorRatnaparkhi,Adwait 0.200000
AuthorRossi,Piercarlo 0.200000
AuthorZuber,R. 0.200000
AuthorVuliÄ‡,Ivan 0.200000
AuthorMiranda-JimÃ©nez,Sabino 0.200000
AuthorBajcsy,R. 0.200000
